episode,success,fail_reason,reward,collected,total_cabbages,steps,energy_used,energy_per_cabbage,total_turns,overlap_rate,sector_switches
0,0,no_return,18.906025047600377,26,26,140,47.20000000000004,0,77,0,0
1,1,success,434.26548539996173,34,34,92,36.80000000000002,0,46,0,0
2,1,success,376.18577875345966,27,27,80,28.50000000000005,0,31,0,0
3,0,no_return,53.552309454977646,25,25,136,44.900000000000055,0,65,0,0
4,1,success,378.7263245284559,26,26,80,29.800000000000054,0,38,0,0
5,0,no_return,41.77939530909081,29,29,152,51.40000000000007,0,78,0,0
6,1,success,377.27582568824306,30,30,90,33.00000000000005,0,41,0,0
7,1,success,364.7696724981071,25,25,70,27.700000000000042,0,37,0,0
8,1,success,392.36237824559225,28,28,76,28.800000000000036,0,30,0,0
9,1,success,452.19159449189914,32,32,74,29.800000000000054,0,30,0,0
10,0,no_return,93.74090474247944,33,33,168,57.90000000000009,0,80,0,0
11,1,success,378.43089355379357,30,30,95,35.80000000000003,0,49,0,0
12,1,success,371.84412610530876,25,25,74,26.700000000000045,0,32,0,0
13,1,success,391.61599788665785,26,26,65,27.400000000000038,0,32,0,0
14,0,no_return,17.179881528020033,32,32,165,52.100000000000094,0,65,0,0
15,1,success,411.1131565093997,30,30,82,31.600000000000062,0,38,0,0
16,1,success,205.79506514072426,27,27,140,51.30000000000007,0,77,0,0
17,1,success,383.1673411086203,33,33,109,41.90000000000003,0,60,0,0
18,1,success,388.79634359478973,30,30,95,36.20000000000003,0,51,0,0
19,0,no_return,-11.079261504113479,33,33,168,62.500000000000064,0,94,0,0
20,1,success,463.2029259890318,31,31,54,26.30000000000003,0,26,0,0
21,1,success,372.9543740957977,26,26,72,28.200000000000042,0,37,0,0
22,0,no_return,82.84893400073075,34,34,172,58.100000000000094,0,78,0,0
23,1,success,424.7620326787235,28,28,61,26.000000000000032,0,26,0,0
24,1,success,430.34494596719765,32,32,85,37.60000000000002,0,54,0,0
26,1,success,485.49797027409096,34,34,70,32.00000000000004,0,37,0,0
27,1,success,400.16879668831837,32,32,98,36.40000000000003,0,48,0,0
28,1,success,399.53288969993616,27,27,73,27.500000000000032,0,29,0,0
29,0,no_return,80.7282370552422,29,29,152,48.70000000000006,0,74,0,0
30,1,success,390.4630892574788,29,29,84,31.500000000000046,0,38,0,0
31,1,success,392.04730728268646,26,26,68,27.200000000000035,0,32,0,0
32,1,success,252.8281256437303,32,32,148,53.400000000000055,0,77,0,0
33,1,success,331.6360094577076,25,25,82,30.900000000000052,0,44,0,0
34,1,success,450.0592917561532,30,30,60,27.200000000000035,0,30,0,0
35,1,success,387.68906891345995,28,28,74,28.400000000000045,0,31,0,0
36,1,success,480.14057423770447,34,34,76,31.40000000000004,0,32,0,0
37,1,success,331.3811593279244,33,33,138,49.300000000000054,0,70,0,0
38,1,success,285.65443809181454,31,31,126,41.10000000000006,0,52,0,0
39,1,success,376.5383306175472,34,34,114,41.60000000000004,0,51,0,0
40,1,success,239.46321594715127,26,26,124,42.800000000000075,0,59,0,0
41,0,no_return,33.491859254241255,32,32,164,56.20000000000006,0,81,0,0
42,0,no_return,29.648539541661915,26,26,141,47.00000000000004,0,71,0,0
43,1,success,406.98109698444637,30,30,84,33.40000000000004,0,46,0,0
44,1,success,488.79160473346724,34,34,64,29.600000000000037,0,25,0,0
45,1,success,381.0808255881073,26,26,70,27.000000000000036,0,32,0,0
46,1,success,369.1728001177313,28,28,88,34.00000000000003,0,47,0,0
47,0,no_return,85.88030764833088,30,30,156,55.50000000000011,0,83,0,0
48,1,success,344.1617581859232,29,29,92,38.90000000000002,0,59,0,0
49,1,success,429.1161162912847,30,30,68,29.600000000000037,0,35,0,0
50,1,success,394.988246497512,26,26,64,26.200000000000028,0,32,0,0
51,0,no_return,56.460437096655625,27,27,144,49.300000000000054,0,74,0,0
52,1,success,463.5988285064699,32,32,64,29.400000000000034,0,29,0,0
53,0,no_return,78.04578168392204,28,28,148,50.700000000000074,0,79,0,0
54,1,success,368.6984709650279,30,30,94,34.00000000000005,0,42,0,0
55,1,success,381.6563104152681,26,26,70,26.800000000000043,0,34,0,0
56,1,success,305.7205946505071,26,26,103,38.200000000000045,0,57,0,0
57,0,no_return,-13.101174911856278,34,34,172,62.4000000000001,0,92,0,0
58,1,success,369.82780372947474,33,33,121,41.90000000000007,0,55,0,0
59,0,no_return,81.46293982043876,34,34,172,61.100000000000065,0,91,0,0
60,1,success,364.6054756850006,31,31,102,36.70000000000006,0,43,0,0
61,0,no_return,82.28718763366355,32,32,164,55.600000000000094,0,76,0,0
62,1,success,392.25608878731754,29,29,88,34.100000000000044,0,45,0,0
63,1,success,441.5576513603334,33,33,94,35.700000000000045,0,43,0,0
64,1,success,335.81024532467137,30,30,118,42.80000000000005,0,63,0,0
65,1,success,447.732924975455,31,31,74,30.300000000000043,0,33,0,0
66,1,success,401.9686472192408,29,29,86,29.500000000000064,0,29,0,0
67,1,success,387.5972393959762,27,27,76,29.100000000000044,0,34,0,0
68,1,success,381.52536038458356,25,25,65,26.10000000000003,0,31,0,0
69,1,success,427.6474378585816,28,28,60,24.80000000000003,0,22,0,0
70,0,no_return,18.031866499782023,32,32,165,56.50000000000007,0,82,0,0
71,1,success,457.6306649535896,32,32,78,30.800000000000054,0,31,0,0
72,1,success,229.8082541614772,31,31,156,54.90000000000008,0,82,0,0
73,1,success,471.0521857082845,34,34,80,34.40000000000004,0,41,0,0
74,1,success,425.02481632083675,31,31,85,35.300000000000054,0,47,0,0
75,1,success,410.4149830788375,31,31,84,33.700000000000045,0,42,0,0
76,1,success,471.17481830120107,33,33,66,31.50000000000004,0,38,0,0
77,0,no_return,51.11143503040107,31,31,160,55.600000000000094,0,78,0,0
78,1,success,481.6356829136611,34,34,74,32.00000000000004,0,36,0,0
79,1,success,238.24831451326614,25,25,124,41.300000000000054,0,63,0,0
80,1,success,424.74752790629867,28,28,60,25.400000000000027,0,26,0,0
81,1,success,380.74135724902163,25,25,70,26.300000000000036,0,31,0,0
82,0,no_return,60.28023590296529,29,29,152,51.20000000000006,0,77,0,0
83,0,no_return,55.13993720263247,27,27,144,46.00000000000005,0,68,0,0
84,1,success,426.72237267792235,30,30,70,29.800000000000036,0,36,0,0
85,1,success,440.6434347450735,30,30,68,29.20000000000004,0,34,0,0
